,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
SWN,S&P; 500,4.23,0.92,0.10%,613.48M,5.98%,2.39B,4.79,0.82,-1.74%,578.17M,-15.95%,494.00M,3.30,0.28,99.20%,14.16%,-26.97%,3.50B,0.68,125.80%,5.08%,3.85,-26.69%,3.79,1.03,-16.50%,6.70%,5.78,-34.01%,0.01,265.84,1.28%,22.90%,3.23 - 6.23,14.37%,-,-,22.90%,11.80%,-37.40%,0.98,-,0.70,3.20%,70.10%,20.74%,0.26,1575,0.70,29.00%,17.30%,46.52,8.30% 6.72%,Yes,0.00,-158.30%,14.10%,1.24,3.64,Yes,1.62,Jan 24 AMC,0.00%,21.27M,3.90,3.10,2.01%,-17.24%,-20.63%,"26,279,576",7.14%
SYF,S&P; 500,7.53,3.35,0.20%,729.43M,7.77%,18.41B,5.67,4.45,1.74%,718.22M,-2.21%,2.55B,0.34,0.91,95.40%,1.43%,-20.58%,17.40B,1.06,-3.20%,-3.72%,1.54,-24.88%,19.04,1.33,24.70%,2.40%,37.45,-35.48%,16.54,1.53,22.20%,16.80%,21.77 - 40.59,7.59%,0.84,2.11,0.50%,24.20%,-37.82%,1.02,3.33%,-,9.70%,-,15.91%,0.85,16000,-,10.90%,58.90%,58.61,3.42% 3.79%,Yes,1.70,29.40%,13.70%,1.20,24.09,Yes,1.70,Jan 18 BMO,22.70%,6.67M,25.24,2.20,5.75%,-2.31%,-18.95%,"8,009,636",4.77%
SYK,S&P; 500,28.74,5.46,0.10%,388.97M,1.59%,61.09B,19.63,8.00,-11.88%,344.76M,-9.68%,2.07B,2.78,2.15,75.40%,1.39%,-10.41%,13.28B,4.60,12.00%,-0.50%,3.24,-8.33%,26.36,5.96,9.91%,5.60%,187.48,-1.09%,5.68,27.64,10.34%,12.80%,144.75 - 179.84,0.20%,2.08,64.17,7.50%,12.10%,-12.67%,0.81,1.32%,1.20,7.50%,66.20%,8.50%,4.63,33000,1.90,7.90%,19.20%,46.02,2.45% 2.96%,Yes,0.73,35.90%,9.30%,1.20,152.46,Yes,0.60,Jan 24 AMC,55.50%,1.48M,157.06,2.00,-2.49%,-4.70%,-6.65%,"1,781,329",3.02%
SYMC,S&P; 500,24.69,0.78,0.80%,655.96M,4.03%,12.70B,10.99,1.76,0.00%,632.48M,-13.42%,521.00M,2.02,0.39,89.90%,1.93%,-6.43%,4.75B,2.67,283.50%,-2.52%,1.47,-8.46%,9.44,2.05,14.71%,7.60%,22.77,-33.03%,3.71,5.21,12.23%,22.20%,17.42 - 29.73,2.46%,0.30,16.51,-8.00%,7.30%,-34.88%,1.07,1.55%,1.00,-6.90%,78.60%,11.10%,0.78,11800,1.00,-5.20%,18.10%,45.32,3.21% 4.10%,Yes,0.85,51.20%,25.60%,0.79,18.58,Yes,0.75,Jan 31 AMC,15.30%,8.31M,19.36,3.00,-4.88%,-6.70%,-11.38%,"6,537,307",4.20%
SYY,S&P; 500,22.90,2.70,0.20%,527.94M,-0.32%,32.65B,16.46,3.76,-94.26%,518.69M,-7.74%,1.43B,2.01,0.74,81.80%,2.45%,-14.82%,59.29B,0.55,23.70%,-1.48%,4.05,-10.83%,5.07,12.20,10.56%,8.10%,71.07,2.01%,1.50,41.32,11.40%,61.20%,56.01 - 75.98,-1.29%,1.56,34.13,9.00%,16.90%,-18.60%,0.61,2.52%,0.80,5.70%,18.90%,10.43%,1.33,67000,1.30,3.90%,3.90%,37.23,1.63% 2.16%,Yes,3.30,18.10%,2.50%,0.96,61.37,Yes,3.00,Feb 04 BMO,49.20%,3.14M,61.85,2.40,-2.62%,-6.42%,-8.21%,"3,017,056",0.78%
T,S&P; 500,15.12,2.01,0.06%,7.53B,7.78%,228.48B,8.48,3.58,6.22%,7.27B,-4.32%,13.28B,2.57,0.85,55.60%,0.97%,-10.55%,164.44B,1.39,-29.20%,-1.77%,1.66,-6.93%,25.24,1.20,1.68%,6.80%,34.36,-19.42%,1.15,26.39,5.88%,20.50%,26.80 - 39.29,6.31%,2.04,32.50,3.50%,5.00%,-22.78%,0.52,6.72%,0.80,4.70%,52.30%,13.21%,0.85,269280,0.80,15.30%,12.30%,57.42,2.49% 2.97%,Yes,1.00,31.50%,20.40%,0.98,29.58,Yes,0.92,Jan 23 BMO,28.10%,42.72M,30.34,2.40,3.30%,0.84%,-5.98%,"42,050,894",2.57%
TAP,S&P; 500,10.64,5.61,0.10%,217.81M,5.61%,13.01B,11.94,5.00,-7.70%,175.38M,-9.72%,1.22B,1.86,0.80,86.90%,3.17%,-2.67%,10.93B,1.19,-51.70%,-0.35%,2.67,-14.33%,64.19,0.93,0.56%,5.40%,72.94,-26.69%,3.44,17.34,5.72%,12.20%,54.17 - 85.86,6.32%,1.64,8.48,13.20%,5.50%,-30.46%,0.71,2.75%,0.50,22.90%,40.60%,10.23%,1.86,17200,0.60,1.80%,16.50%,50.08,2.99% 3.23%,Yes,0.76,17.80%,15.10%,0.77,57.87,Yes,0.65,Jan 30 BMO,21.40%,2.09M,59.71,2.50,0.22%,-3.14%,-8.30%,"1,600,987",3.18%
TDG,S&P; 500,24.98,13.65,0.20%,54.13M,2.75%,18.46B,18.06,18.88,-40.14%,50.35M,-8.44%,759.00M,4.70,3.34,32.26%,5.39%,-8.35%,3.81B,4.84,61.50%,-6.22%,5.60,-1.88%,-32.53,-,14.18%,8.10%,398.08,26.18%,38.30,8.90,5.31%,-40.90%,268.40 - 377.67,0.27%,-,20.67,41.70%,13.40%,-9.72%,0.91,-,3.20,14.60%,57.70%,27.04%,12.47,10100,4.10,-70.10%,43.40%,51.02,3.13% 3.62%,Yes,-,-50.80%,23.60%,0.59,325.55,Yes,-,Feb 05 BMO,0.00%,484.37K,340.97,2.20,0.77%,-0.06%,-0.36%,"284,580",4.74%
TEL,S&P; 500,8.29,8.97,0.20%,349.19M,-1.17%,25.96B,11.75,6.33,0.00%,342.33M,-4.50%,3.15B,0.80,1.28,95.40%,0.80%,-14.37%,13.99B,1.86,107.50%,-1.12%,1.11,-18.55%,31.21,2.38,10.90%,13.20%,95.87,-23.32%,2.43,30.61,10.40%,26.00%,69.84 - 108.23,-1.72%,1.76,27.97,26.80%,21.90%,-31.32%,0.99,2.37%,1.00,4.20%,33.90%,6.43%,2.16,80000,1.40,18.60%,16.70%,50.10,2.19% 2.99%,Yes,0.37,474.60%,18.30%,0.76,72.43,Yes,0.28,Jan 30 BMO,22.80%,2.48M,74.33,1.90,1.09%,-1.40%,-16.12%,"1,886,017",2.62%
TGT,S&P; 500,12.75,5.21,0.14%,525.90M,2.66%,34.94B,11.84,5.61,-2.29%,521.10M,-8.17%,2.81B,1.59,1.51,86.10%,4.75%,-22.73%,75.14B,0.46,0.70%,-1.41%,4.05,-13.22%,21.07,3.15,4.06%,8.00%,84.01,-1.10%,1.57,42.35,8.00%,28.80%,60.15 - 90.39,0.51%,2.56,25.74,-1.60%,13.20%,-26.51%,0.79,3.85%,0.10,-0.40%,29.20%,10.44%,2.22,345000,0.80,5.60%,5.50%,44.37,2.20% 3.54%,Yes,1.05,25.00%,4.30%,0.79,65.53,Yes,0.91,Nov 20 BMO,41.30%,6.12M,66.43,2.50,1.18%,-10.35%,-14.20%,"4,815,421",1.37%
TIF,S&P; 500,17.53,4.70,0.20%,124.48M,4.41%,10.25B,15.84,5.20,15.20%,120.76M,-12.96%,585.00M,1.57,1.69,93.70%,5.15%,-33.80%,4.46B,2.30,15.70%,-1.05%,2.85,-38.06%,24.60,3.35,9.01%,8.40%,117.79,-23.03%,5.27,15.65,11.19%,14.10%,73.04 - 141.64,2.32%,2.20,77.80,4.90%,13.00%,-41.84%,1.61,2.67%,1.80,1.90%,63.30%,12.79%,3.51,13100,5.90,3.70%,18.60%,41.96,3.47% 3.76%,Yes,0.32,-5.70%,10.00%,0.85,79.59,Yes,0.29,Nov 28 BMO,58.50%,2.18M,82.38,2.30,0.99%,-14.64%,-28.05%,"1,847,670",3.51%
TJX,S&P; 500,19.13,2.37,0.07%,1.24B,3.56%,56.39B,17.47,2.60,0.00%,1.23B,-6.18%,3.01B,1.68,0.68,91.80%,1.34%,-17.71%,38.81B,1.45,12.80%,-1.76%,1.98,-4.49%,4.25,10.68,6.30%,21.60%,54.40,20.57%,2.18,20.79,11.39%,59.30%,36.41 - 56.64,1.48%,0.78,21.28,8.90%,33.00%,-19.84%,0.74,1.72%,0.60,6.70%,28.50%,24.69%,1.36,249000,1.50,12.10%,10.40%,47.29,2.14% 2.87%,Yes,0.42,21.50%,8.00%,0.73,44.19,Yes,0.42,Nov 20 BMO,28.40%,8.38M,45.40,2.00,1.90%,-7.20%,-5.83%,"6,093,566",2.74%
TMK,S&P; 500,3.74,20.78,1.30%,114.57M,4.54%,8.90B,11.76,6.61,-20.93%,109.63M,-10.26%,2.44B,0.27,1.56,78.60%,2.50%,-10.95%,4.30B,2.07,345.10%,-0.09%,4.14,-5.61%,49.20,1.58,7.63%,6.70%,85.11,-14.15%,0.68,114.97,13.70%,27.00%,69.68 - 93.60,4.21%,0.64,7.57,40.30%,31.50%,-17.01%,0.97,0.82%,-,2.90%,-,11.47%,2.23,3102,-,3.60%,22.50%,49.95,2.45% 2.91%,Yes,0.36,20.00%,36.40%,1.18,75.01,Yes,0.25,Jan 23 AMC,4.50%,662.11K,77.67,3.30,1.88%,-5.15%,-8.29%,"784,082",3.55%
TMO,S&P; 500,32.44,6.84,0.10%,416.71M,0.30%,92.41B,18.07,12.27,-35.43%,401.84M,-11.99%,2.77B,2.67,3.19,90.40%,0.92%,-10.35%,23.90B,3.87,19.80%,0.27%,1.95,6.95%,66.89,3.32,11.02%,4.60%,266.07,12.84%,2.67,83.10,12.15%,9.80%,194.51 - 253.91,-0.91%,0.68,25.24,12.20%,6.40%,-12.66%,1.09,0.31%,1.30,10.80%,44.40%,14.01%,7.64,70000,1.80,15.70%,15.00%,45.18,3.10% 3.29%,Yes,0.70,30.70%,10.70%,1.48,212.17,Yes,0.66,Jan 23 BMO,10.00%,1.91M,221.76,1.80,-2.77%,-4.93%,-1.35%,"2,829,545",4.52%
TPR,S&P; 500,14.07,2.44,0.30%,294.37M,0.35%,10.09B,11.06,3.10,-,289.30M,-13.33%,704.80M,1.43,1.12,91.50%,1.48%,-31.65%,5.97B,1.69,-6.40%,-1.13%,1.08,-25.92%,11.46,2.99,10.92%,7.80%,53.45,-24.30%,3.61,9.49,9.82%,17.00%,32.03 - 55.50,1.54%,1.35,27.09,-11.50%,13.20%,-38.25%,0.79,3.94%,1.80,3.00%,67.40%,6.99%,1.35,20800,2.70,7.20%,14.20%,42.67,3.58% 3.86%,Yes,0.48,770.10%,9.00%,1.08,33.02,Yes,0.48,Jan 29 BMO,72.10%,3.95M,34.27,2.10,-1.00%,-10.41%,-25.39%,"4,258,075",3.79%
TRIP,S&P; 500,79.76,0.68,0.50%,139.99M,-0.37%,7.55B,28.68,1.88,-2.39%,106.02M,-16.52%,95.00M,5.31,0.30,-,12.01%,4.37%,1.59B,4.75,-52.80%,0.75%,5.22,-5.25%,10.48,5.15,10.13%,1.00%,58.08,54.19%,4.74,11.39,15.03%,1.60%,34.08 - 69.00,-0.04%,-,22.67,-22.50%,4.30%,-21.86%,1.50,-,2.00,15.30%,94.80%,58.22%,2.35,3281,2.00,4.30%,10.70%,44.46,4.40% 4.15%,Yes,0.00,173.80%,1.40%,1.31,51.04,Yes,0.00,Feb 06 AMC,0.00%,2.44M,53.92,3.20,-6.08%,-6.18%,3.46%,"3,204,738",5.64%
TROW,S&P; 500,12.26,7.50,1.80%,245.84M,0.73%,22.61B,12.47,7.37,-1.16%,234.37M,-7.63%,1.86B,1.03,1.79,74.00%,2.61%,-17.71%,5.35B,4.22,31.80%,0.12%,3.49,-20.36%,26.61,3.46,-3.43%,22.90%,105.54,-11.97%,8.50,10.82,11.91%,29.50%,84.59 - 127.43,-0.37%,2.80,43.49,13.20%,21.60%,-27.82%,1.16,3.04%,-,9.20%,-,8.74%,2.88,6946,-,14.20%,43.90%,49.82,2.50% 3.26%,Yes,0.00,47.10%,33.40%,1.04,88.81,Yes,0.00,Jan 24 BMO,34.50%,1.75M,91.98,2.60,0.98%,-2.57%,-15.99%,"1,823,811",3.57%
TRV,DJIA S&P500;,12.60,9.42,0.10%,272.95M,0.01%,32.39B,10.50,11.30,-6.65%,263.63M,-8.78%,2.56B,0.64,2.72,81.90%,1.47%,-8.38%,29.94B,1.08,-24.20%,0.02%,2.09,-3.20%,84.40,1.41,18.12%,2.30%,136.06,-10.36%,1.32,90.23,19.70%,10.60%,111.08 - 150.55,-0.89%,3.08,11.16,4.30%,8.40%,-21.17%,1.13,2.60%,-,2.40%,-,6.84%,3.05,30800,-,5.40%,11.50%,46.23,1.79% 2.59%,Yes,0.29,149.30%,8.10%,0.97,115.26,Yes,0.27,Jan 17 BMO,32.40%,1.85M,118.68,2.80,-0.87%,-4.35%,-7.78%,"1,793,890",2.97%
TSCO,S&P; 500,19.99,4.12,0.20%,124.58M,-1.60%,10.26B,17.51,4.70,-52.42%,121.42M,-14.00%,510.10M,1.38,1.08,87.00%,2.06%,-7.33%,7.73B,1.33,2.10%,0.71%,1.64,6.82%,12.27,6.71,9.86%,16.30%,97.36,7.99%,0.57,143.87,14.50%,35.90%,58.27 - 97.65,-1.32%,1.24,49.13,11.90%,23.50%,-15.68%,1.21,1.51%,0.20,9.20%,34.30%,41.31%,2.85,14000,2.00,9.30%,9.10%,39.30,2.71% 3.57%,Yes,0.41,31.40%,6.50%,1.31,80.68,Yes,0.39,Jan 24 BMO,28.30%,1.52M,82.34,2.30,-4.53%,-8.44%,2.99%,"1,998,183",2.06%
TSN,S&P; 500,10.50,5.25,1.10%,372.16M,5.09%,20.53B,8.87,6.22,0.16%,288.82M,-8.48%,2.01B,3.28,1.57,88.30%,1.47%,-6.71%,40.05B,0.51,14.20%,-2.17%,1.50,-18.03%,35.37,1.56,4.71%,10.60%,69.60,-30.80%,0.73,76.03,3.20%,24.50%,49.77 - 82.51,3.30%,1.50,15.41,18.80%,10.30%,-33.15%,0.33,2.72%,0.40,3.10%,12.80%,10.83%,1.60,121000,1.10,-1.40%,7.60%,50.05,2.37% 3.15%,Yes,0.77,36.30%,7.60%,1.95,54.49,Yes,0.62,Feb 12 BMO,14.50%,2.83M,55.16,2.40,1.86%,-4.69%,-13.71%,"5,523,946",1.23%
TSS,S&P; 500,27.28,2.97,0.20%,186.15M,0.47%,15.08B,16.55,4.90,-5.18%,179.23M,-9.47%,545.80M,1.71,1.07,79.90%,1.18%,-18.19%,4.28B,3.52,40.10%,0.42%,1.41,-5.29%,14.48,5.59,9.75%,8.10%,106.35,2.81%,2.60,31.11,15.95%,23.80%,75.58 - 100.39,-0.37%,0.52,18.16,13.60%,9.80%,-19.32%,1.15,0.64%,2.50,22.40%,34.80%,7.16%,2.59,11000,2.60,-18.60%,18.70%,45.75,2.72% 3.12%,Yes,1.48,28.10%,13.60%,1.06,77.85,Yes,1.47,Jan 22 AMC,16.30%,1.49M,80.99,2.10,-1.24%,-6.11%,-9.36%,"1,583,222",4.03%
TTWO,S&P; 500,52.83,1.93,0.40%,116.88M,-4.19%,11.89B,19.92,5.11,2.46%,112.57M,-1.70%,224.90M,1.52,2.73,94.10%,4.87%,-25.28%,1.81B,6.56,129.60%,-1.95%,1.97,-15.83%,17.10,5.95,2.80%,5.90%,142.90,-10.70%,8.77,11.59,34.85%,12.70%,92.81 - 139.91,-1.20%,-,213.79,45.50%,12.30%,-27.31%,1.04,-,1.40,8.10%,54.60%,9.58%,4.68,4492,1.50,-42.80%,10.70%,42.02,4.20% 4.56%,Yes,0.00,-56.40%,11.80%,1.30,99.15,Yes,0.00,Feb 06 AMC,0.00%,2.78M,101.70,1.80,-1.60%,-7.83%,-12.59%,"3,605,004",2.57%
TWTR,S&P; 500,16.41,1.83,0.50%,786.00M,4.43%,23.54B,33.54,0.89,-74.35%,714.11M,-11.02%,1.39B,0.38,0.25,66.20%,6.27%,3.24%,2.87B,8.22,151.40%,0.05%,1.76,-33.53%,8.53,3.51,11.76%,12.40%,34.95,22.49%,7.58,3.95,43.30%,18.70%,22.04 - 47.79,4.21%,-,31.27,31.90%,4.60%,-37.33%,0.33,-,4.60,50.50%,68.10%,35.89%,1.75,3372,4.60,28.60%,12.30%,45.65,4.45% 5.79%,Yes,0.42,-,36.30%,0.91,27.99,Yes,0.27,Jan 24 BMO,0.00%,25.43M,29.95,2.80,-4.72%,-6.67%,-11.29%,"23,264,042",7.00%
TXN,S&P; 500,19.87,4.68,0.10%,989.10M,-0.97%,91.89B,16.80,5.53,-2.99%,958.29M,-8.17%,4.66B,1.51,1.24,87.40%,1.68%,-14.12%,15.82B,5.81,5.30%,-0.54%,1.98,-16.69%,10.85,8.56,-0.72%,25.70%,110.59,-14.32%,5.17,17.97,13.13%,44.10%,87.70 - 120.75,-1.69%,3.08,26.22,19.40%,26.00%,-23.06%,1.18,3.32%,3.10,3.10%,65.20%,5.93%,3.25,29714,4.00,3.50%,42.70%,48.84,3.29% 3.49%,Yes,0.48,24.60%,29.40%,0.92,88.88,Yes,0.41,Jan 22 AMC,52.10%,8.15M,92.90,2.40,-0.31%,-2.04%,-11.74%,"7,518,080",4.52%
TXT,S&P; 500,10.53,4.45,0.30%,250.39M,2.14%,11.74B,13.25,3.54,-15.16%,242.48M,-17.36%,1.14B,0.61,0.97,84.50%,2.26%,-34.63%,14.24B,0.82,-31.20%,-0.91%,2.44,-29.02%,22.52,2.08,11.39%,5.80%,69.64,-18.65%,5.16,9.08,17.30%,15.60%,43.27 - 72.87,1.94%,0.08,13.22,1.50%,7.80%,-35.67%,1.58,0.17%,0.90,3.00%,16.90%,8.34%,1.65,37000,2.10,-8.20%,10.50%,41.44,2.54% 3.59%,Yes,0.70,279.10%,6.10%,1.06,44.92,Yes,0.70,Jan 24 BMO,2.30%,2.25M,46.88,1.90,-2.82%,-10.63%,-25.14%,"2,377,098",4.36%
UA,S&P; 500,-,-0.31,15.40%,-,2.15%,-,47.43,0.35,-,376.57M,-26.32%,-,-,0.06,67.38%,3.57%,-11.94%,5.16B,-,15.80%,-,3.99,-20.00%,4.47,3.71,59.10%,-,15.50,15.28%,-,-,5.00%,-,11.41 - 23.28,2.66%,-,-,-,-,-28.69%,-,-,-,-,-,45.49%,0.91,6900,-,2.40%,-,39.03,3.75% 5.35%,Yes,-,38.80%,-,0.53,15.96,Yes,-,Jan 29 BMO,-,3.37M,16.60,3.00,-7.22%,-13.45%,-10.04%,"1,770,506",4.01%
UAA,S&P; 500,-,-0.20,0.34%,433.04M,1.23%,7.85B,54.44,0.33,0.00%,378.48M,-24.43%,-99.60M,-,0.04,94.10%,9.70%,-11.69%,5.17B,1.52,-104.80%,1.71%,6.16,-17.85%,2.24,8.09,52.75%,-3.30%,20.96,15.33%,0.39,46.54,40.42%,-7.00%,12.50 - 24.96,2.60%,-,20.98,-15.30%,1.00%,-27.36%,0.24,-,1.10,22.10%,44.60%,45.04%,0.98,6900,2.00,2.40%,-1.00%,39.53,3.87% 5.34%,Yes,0.40,37.40%,-2.70%,0.62,17.38,Yes,0.35,Jan 29 BMO,-,5.96M,18.13,3.10,-6.00%,-12.77%,-10.11%,"3,708,300",4.32%
UAL,S&P; 500,11.20,7.38,0.10%,280.56M,-0.43%,23.20B,7.90,10.47,19.10%,271.52M,-14.29%,2.06B,0.60,1.92,99.60%,6.54%,-5.39%,40.25B,0.58,-13.70%,0.81%,4.46,16.58%,34.76,2.38,20.78%,5.10%,104.71,20.72%,17.59,4.70,18.70%,25.60%,60.44 - 97.85,-1.25%,-,10.95,37.60%,10.50%,-15.50%,0.85,-,0.60,0.30%,56.60%,36.80%,3.28,90900,0.60,11.20%,8.40%,42.82,3.66% 3.82%,Yes,1.52,42.40%,5.60%,0.94,80.00,Yes,1.41,Jan 22 AMC,0.00%,3.98M,82.68,2.20,-3.75%,-6.76%,4.05%,"3,750,074",3.35%
UDR,S&P; 500,140.58,0.27,1.00%,290.87M,-2.53%,11.20B,100.57,0.38,-6.12%,272.00M,-10.08%,73.70M,-,0.09,97.90%,1.92%,-3.02%,1.03B,10.86,-6.70%,1.99%,2.61,2.42%,9.51,4.05,-26.20%,2.40%,42.68,0.47%,0.00,10185.74,-,6.90%,32.88 - 42.98,-2.78%,1.29,57.02,24.80%,2.80%,-10.38%,0.40,3.35%,-,6.80%,68.40%,17.15%,1.00,1502,-,6.00%,19.90%,37.82,2.19% 2.67%,Yes,1.50,15.70%,18.10%,1.10,38.58,Yes,1.50,Jan 28 AMC,181.50%,2.00M,38.52,2.70,-5.51%,-5.21%,0.46%,"2,207,892",-0.16%
UHS,S&P; 500,13.80,8.59,0.10%,93.43M,1.59%,11.08B,11.81,10.04,0.00%,83.11M,-13.45%,810.30M,1.23,2.34,-,4.38%,-5.13%,10.66B,1.04,5.00%,1.63%,4.27,6.45%,57.77,2.05,5.86%,7.60%,138.71,4.56%,0.90,132.34,11.21%,16.10%,108.62 - 139.63,1.72%,0.40,9.13,10.60%,9.80%,-15.09%,0.97,0.34%,1.00,8.40%,-,9.15%,3.75,76600,1.10,4.20%,11.80%,44.62,2.20% 3.32%,Yes,0.75,25.10%,7.90%,1.14,115.98,Yes,0.69,Jan 24 AMC,4.50%,853.56K,118.56,2.20,-2.46%,-5.52%,-2.64%,"969,247",2.22%
ULTA,S&P; 500,22.45,11.36,0.70%,59.68M,5.27%,15.22B,20.00,12.75,-15.03%,56.21M,-16.79%,690.30M,1.16,3.56,93.90%,5.09%,-8.55%,6.53B,2.33,46.90%,-1.42%,2.61,7.22%,30.74,8.30,17.11%,21.10%,318.95,4.04%,4.97,51.26,19.35%,36.20%,191.70 - 322.49,4.16%,-,24.04,29.00%,33.40%,-20.92%,1.03,-,0.60,21.50%,35.60%,33.04%,10.52,13700,2.10,16.20%,12.70%,50.08,3.62% 4.28%,Yes,0.00,28.60%,10.00%,0.79,243.36,Yes,0.00,Dec 06 AMC,0.00%,1.10M,255.03,2.00,2.70%,-7.36%,-0.16%,"862,790",4.80%
UNH,DJIA S&P500;,20.78,11.53,0.60%,984.34M,-2.58%,235.87B,16.39,14.62,-2.17%,954.91M,-16.31%,11.36B,1.32,3.21,88.50%,0.61%,-11.55%,219.89B,1.07,31.10%,-0.04%,1.46,-4.34%,51.99,4.61,14.16%,8.40%,309.82,7.22%,10.43,22.98,15.80%,26.00%,208.48 - 287.94,-3.81%,3.60,43.50,12.50%,13.60%,-16.78%,0.92,1.50%,-,12.70%,-,14.94%,7.78,260000,-,12.40%,7.70%,37.97,2.09% 3.04%,Yes,0.67,29.10%,5.70%,1.34,236.85,Yes,0.64,Jan 15 BMO,25.30%,4.00M,239.62,1.60,-6.15%,-8.70%,-5.33%,"5,354,699",1.17%
UNM,S&P; 500,13.82,2.27,0.44%,225.90M,7.92%,7.08B,5.70,5.50,-0.76%,217.80M,-12.51%,509.70M,1.37,1.31,96.10%,2.35%,-20.70%,11.57B,0.61,7.30%,-1.18%,1.96,-17.02%,38.91,0.81,5.23%,0.90%,41.54,-43.29%,0.95,33.05,10.08%,5.80%,26.76 - 58.73,6.67%,1.04,6.95,5.90%,9.00%,-46.64%,1.39,3.32%,-,1.40%,-,17.09%,1.18,9400,-,3.90%,7.20%,51.26,3.10% 4.07%,Yes,0.35,-216.50%,4.70%,0.83,29.88,Yes,0.35,Jan 23 AMC,39.30%,2.61M,31.34,2.90,4.99%,-7.10%,-18.30%,"2,169,682",4.89%
UNP,S&P; 500,18.12,7.61,0.10%,761.67M,0.47%,104.95B,15.37,8.96,-3.60%,733.64M,-12.31%,5.83B,0.99,2.04,82.30%,1.40%,-15.50%,22.53B,4.66,19.40%,-1.63%,2.17,-3.14%,28.00,4.92,14.28%,20.00%,167.76,0.92%,2.49,55.24,18.27%,52.10%,121.22 - 165.63,-0.32%,3.20,39.15,7.90%,12.80%,-16.81%,0.98,2.32%,0.90,0.30%,78.30%,13.67%,4.52,42057,1.10,9.60%,37.60%,45.63,2.50% 3.21%,Yes,1.09,43.60%,51.90%,1.17,132.68,Yes,1.01,Jan 24 BMO,18.10%,4.75M,137.79,2.40,-2.07%,-4.94%,-5.24%,"5,553,389",3.85%
UPS,S&P; 500,16.41,5.96,-,893.73M,-0.04%,87.35B,12.53,7.80,-,689.70M,-15.21%,5.18B,1.42,1.91,68.90%,1.50%,-17.01%,70.84B,1.23,37.40%,0.14%,3.04,-8.04%,3.58,27.30,8.03%,12.00%,122.52,-22.68%,5.42,18.04,11.59%,280.40%,89.89 - 135.53,0.22%,3.64,-,44.90%,19.90%,-27.88%,1.21,3.72%,1.10,4.00%,76.90%,8.73%,3.23,454000,1.10,7.90%,9.20%,45.80,2.08% 3.51%,Yes,7.52,20.30%,7.70%,0.94,94.45,Yes,6.49,Jan 23 BMO,56.70%,3.42M,97.74,2.60,-1.01%,-7.26%,-12.96%,"3,223,731",3.48%
URBN,S&P; 500,12.79,2.52,36.35%,108.15M,-4.01%,3.49B,11.02,2.93,-0.09%,68.51M,-17.86%,277.60M,0.81,0.81,85.90%,16.97%,-20.49%,3.91B,0.89,-17.20%,4.88%,4.72,-29.44%,13.43,2.40,7.21%,10.20%,45.76,-9.37%,5.24,6.17,15.70%,15.30%,31.20 - 52.50,-2.74%,-,11.91,-1.00%,13.20%,-38.50%,0.73,-,1.80,5.30%,33.60%,3.49%,1.44,9660,2.70,9.00%,9.20%,35.54,3.59% 4.53%,Yes,0.00,71.70%,5.40%,1.34,32.54,Yes,0.00,Nov 19 AMC,0.00%,2.46M,32.29,2.60,-5.56%,-12.21%,-21.45%,"3,294,424",-0.77%
URI,S&P; 500,9.35,11.78,0.40%,84.16M,5.10%,9.27B,5.73,19.22,-9.12%,80.76M,-7.66%,994.00M,0.36,4.87,90.70%,3.24%,-33.47%,7.66B,1.21,19.10%,-1.40%,1.17,-25.84%,40.49,2.72,17.48%,11.00%,157.23,-37.14%,0.77,142.59,26.13%,53.20%,94.28 - 190.74,7.41%,-,3.83,57.60%,8.90%,-42.26%,2.23,-,0.80,10.00%,41.70%,16.81%,5.92,14800,0.80,19.80%,24.10%,53.32,5.42% 5.79%,Yes,3.02,72.20%,22.00%,1.07,101.98,Yes,2.75,Jan 23 AMC,0.00%,2.23M,110.13,2.00,6.46%,-1.66%,-25.29%,"2,394,588",7.99%
